Period,COUNT,MIN,MAX,MEAN,STD
2021,138.0,200.0,7500000.0,227764.2,732532.3
2020,138.0,200.0,7400000.0,226049.7,725177.3
2019,138.0,200.0,7300000.0,224030.9,717892.9
2018,138.0,200.0,7100000.0,221043.9,702321.5
2017,138.0,200.0,6900000.0,217065.7,684853.0
2016,138.0,200.0,6800000.0,214540.1,676615.1
2015,138.0,200.0,6500000.0,211181.4,656647.2
2014,138.0,200.0,6300000.0,208311.1,641184.7
2013,138.0,200.0,6100000.0,204115.3,624280.7
2012,138.0,200.0,5800000.0,199898.3,603752.9
2011,138.0,200.0,5600000.0,197450.4,590293.1
