Period,COUNT,MIN,MAX,MEAN,STD,MEAN-DIFF
2021,138.0,200.0,7500000.0,227764.2,732532.3,1714.5
2020,138.0,200.0,7400000.0,226049.7,725177.3,2018.8000000000175
2019,138.0,200.0,7300000.0,224030.9,717892.9,2987.0
2018,138.0,200.0,7100000.0,221043.9,702321.5,3978.1999999999825
2017,138.0,200.0,6900000.0,217065.7,684853.0,2525.600000000006
2016,138.0,200.0,6800000.0,214540.1,676615.1,3358.7000000000116
2015,138.0,200.0,6500000.0,211181.4,656647.2,2870.2999999999884
2014,138.0,200.0,6300000.0,208311.1,641184.7,4195.8000000000175
2013,138.0,200.0,6100000.0,204115.3,624280.7,4217.0
2012,138.0,200.0,5800000.0,199898.3,603752.9,2447.899999999994
2011,138.0,200.0,5600000.0,197450.4,590293.1,0.0
